CP;INSEE;Nom min;Nom Maj
14140;14654;Saint-Pierre-en-Auge;SAINT-PIERRE-EN-AUGE
14570;14656;Saint-Rémy;SAINT-REMY
14670;14657;Saint-Samson;SAINT-SAMSON
14380;14658;Noues de Sienne;NOUES DE SIENNE
14190;14659;Saint-Sylvain;SAINT-SYLVAIN
14640;14660;Saint-Vaast-en-Auge;SAINT-VAAST-EN-AUGE
14250;14661;Saint-Vaast-sur-Seulles;SAINT-VAAST-SUR-SEULLES
14400;14663;Saint-Vigor-le-Grand;SAINT-VIGOR-LE-GRAND
14240;14664;Sallen;SALLEN
14121;14665;Sallenelles;SALLENELLES
14330;14667;Saon;SAON
14330;14668;Saonnet;SAONNET
14170;14669;Sassy;SASSY
14240;14672;Val de Drôme;VAL DE DROME
14350;14672;Val de Drôme;VAL DE DROME
14190;14674;Soignolles;SOIGNOLLES
14540;14675;Soliers;SOLIERS
14400;14676;Sommervieu;SOMMERVIEU
14700;14677;Soulangy;SOULANGY
14420;14678;Soumont-Saint-Quentin;SOUMONT-SAINT-QUENTIN
14400;14679;Subles;SUBLES
14400;14680;Sully;SULLY
14710;14681;Surrain;SURRAIN
14130;14682;Surville;SURVILLE
14250;14684;Tessel;TESSEL
14610;14685;Thaon;THAON
14130;14687;Le Theil-en-Auge;THEIL-EN-AUGE (LE)
14220;14689;Le Hom;LE HOM
14250;14692;Tilly-sur-Seulles;TILLY-SUR-SEULLES
14130;14694;Le Torquesne;TORQUESNE (LE)
14940;14698;Touffréville;TOUFFREVILLE
14800;14699;Touques;TOUQUES
14400;14700;Tour-en-Bessin;TOUR-EN-BESSIN
14800;14701;Tourgéville;TOURGEVILLE
14330;14705;Tournières;TOURNIERES
14130;14706;Tourville-en-Auge;TOURVILLE-EN-AUGE
14210;14707;Tourville-sur-Odon;TOURVILLE-SUR-ODON
14310;14708;Tracy-Bocage;TRACY-BOCAGE
14117;14709;Tracy-sur-Mer;TRACY-SUR-MER
14690;14710;Tréprel;TREPREL
14710;14711;Trévières;TREVIERES
14670;14712;Troarn;TROARN
14940;14712;Sannerville;SANNERVILLE
